Time[s], Channel 6, Channel 7
1.115092000000000, 0, 0
1.115098000000000, 0, 1
1.115104000000000, 0, 0
1.115112000000000, 0, 1
1.115120000000000, 0, 0
1.115126000000000, 0, 1
1.115132000000000, 0, 0
1.115140000000000, 0, 1
1.115146000000000, 1, 0
1.115152000000000, 1, 1
1.115158000000000, 1, 0
1.115162000000000, 0, 0
1.115164000000000, 0, 1
1.115172000000000, 0, 0
1.115180000000000, 0, 1
1.115186000000000, 0, 0
1.115192000000000, 0, 1
1.115198000000000, 0, 0
1.115200000000000, 1, 0
1.115206000000000, 1, 1
1.115212000000000, 1, 0
1.115214000000000, 0, 0
1.115218000000000, 0, 1
1.115226000000000, 0, 0
1.115232000000000, 0, 1
1.115240000000000, 0, 0
1.115246000000000, 0, 1
1.115252000000000, 0, 0
1.115260000000000, 0, 1
1.115266000000000, 1, 0
1.115272000000000, 1, 1
1.115278000000000, 1, 0
1.115282000000000, 0, 0
1.115284000000000, 0, 1
1.115292000000000, 0, 0
1.115300000000000, 0, 1
1.115306000000000, 0, 0
1.115312000000000, 0, 1
1.115318000000000, 0, 0
1.115320000000000, 1, 0
1.115326000000000, 1, 1
1.115332000000000, 1, 0
1.115338000000000, 1, 1
1.115346000000000, 1, 0
1.115352000000000, 1, 1
1.115360000000000, 0, 0
1.115366000000000, 0, 1
1.115372000000000, 0, 0
1.115380000000000, 0, 1
1.115386000000000, 1, 0
1.115392000000000, 1, 1
1.115398000000000, 1, 0
1.115402000000000, 0, 0
1.115404000000000, 0, 1
1.115412000000000, 0, 0
1.115416000000000, 1, 0
1.115420000000000, 1, 1
1.115426000000000, 0, 0
1.115432000000000, 0, 1
1.115438000000000, 0, 0
1.115446000000000, 0, 1
1.115452000000000, 0, 0
1.115454000000000, 1, 0
1.115458000000000, 1, 1
1.115466000000000, 0, 0
1.115472000000000, 0, 1
1.115480000000000, 0, 0
1.115486000000000, 0, 1
1.115492000000000, 0, 0
1.115500000000000, 0, 1
1.115506000000000, 0, 0
1.115512000000000, 0, 1
1.115518000000000, 0, 0
1.115520000000000, 1, 0
1.115522000000000, 0, 0
1.115524000000000, 0, 1
1.115532000000000, 0, 0
1.115540000000000, 0, 1
1.115546000000000, 0, 0
1.115552000000000, 0, 1
1.115558000000000, 0, 0
1.115560000000000, 1, 0
1.115566000000000, 1, 1
1.115572000000000, 1, 0
1.115578000000000, 1, 1
1.115586000000000, 0, 0
1.115592000000000, 0, 1
1.115600000000000, 0, 0
1.115606000000000, 0, 1
1.115612000000000, 0, 0
1.115620000000000, 0, 1
1.115626000000000, 0, 0
1.115632000000000, 0, 1
1.115638000000000, 0, 0
1.115640000000000, 1, 0
1.115642000000000, 0, 0
1.115646000000000, 0, 1
1.115652000000000, 0, 0
1.115660000000000, 0, 1
1.115666000000000, 1, 0
1.115672000000000, 1, 1
1.115678000000000, 1, 0
1.115686000000000, 1, 1
1.115692000000000, 1, 0
1.115694000000000, 0, 0
1.115698000000000, 0, 1
1.115706000000000, 0, 0
1.115712000000000, 0, 1
1.115720000000000, 0, 0
1.115726000000000, 0, 1
1.115732000000000, 0, 0
1.115734000000000, 1, 0
1.115740000000000, 1, 1
1.115746000000000, 0, 0
1.115752000000000, 0, 1
1.115758000000000, 0, 0
1.115760000000000, 1, 0
1.115762000000000, 0, 0
1.115766000000000, 0, 1
1.115772000000000, 0, 0
1.115780000000000, 0, 1
1.115786000000000, 0, 0
1.115792000000000, 0, 1
1.115798000000000, 0, 0
1.115806000000000, 0, 1
1.115812000000000, 0, 0
1.115814000000000, 1, 0
1.115818000000000, 1, 1
1.115826000000000, 1, 0
1.115832000000000, 1, 1
1.115840000000000, 1, 0
1.115842000000000, 0, 0
1.115846000000000, 0, 1
1.115852000000000, 0, 0
1.115854000000000, 1, 0
1.115860000000000, 1, 1
1.115866000000000, 0, 0
1.115872000000000, 0, 1
1.115878000000000, 0, 0
1.115880000000000, 1, 0
1.115882000000000, 0, 0
1.115886000000000, 0, 1
1.115892000000000, 0, 0
1.115900000000000, 0, 1
1.115906000000000, 0, 0
1.115912000000000, 0, 1
1.115918000000000, 0, 0
1.115920000000000, 1, 0
1.115926000000000, 1, 1
1.115932000000000, 1, 0
1.115934000000000, 0, 0
1.115938000000000, 0, 1
1.115946000000000, 0, 0
1.115952000000000, 0, 1
1.115960000000000, 1, 0
1.115966000000000, 1, 1
1.115972000000000, 1, 0
1.115980000000000, 1, 1
1.115986000000000, 1, 0
1.115992000000000, 1, 1
1.115998000000000, 1, 0
1.116002000000000, 0, 0
1.116006000000000, 0, 1
1.116012000000000, 0, 0
1.116020000000000, 0, 1
1.116026000000000, 1, 0
1.116032000000000, 1, 1
1.116038000000000, 1, 0
1.116040000000000, 0, 0
1.116046000000000, 0, 1
1.116052000000000, 0, 0
1.116058000000000, 0, 1
1.116066000000000, 0, 0
1.116072000000000, 0, 1
1.116080000000000, 0, 0
1.116086000000000, 0, 1
1.116094000000000, 0, 0
1.116100000000000, 0, 1
1.116106000000000, 0, 0
1.116112000000000, 0, 1
1.116118000000000, 0, 0
1.116120000000000, 1, 0
1.116122000000000, 0, 0
1.116126000000000, 0, 1
1.116132000000000, 0, 0
1.116140000000000, 0, 1
1.116146000000000, 1, 0
