Time [s], Analyzer Name, Decoded Protocol Result
2.606975000000000,I2C,0x00 + ACK
2.607095000000000,I2C,0x9B + NAK
2.607350000000000,I2C,Setup Write to [0x74] + ACK
2.607460000000000,I2C,0x00 + ACK
2.607585000000000,I2C,Setup Read to [0x75] + ACK
2.607700000000000,I2C,0xAC + ACK
2.607820000000000,I2C,0xB8 + ACK
2.607940000000000,I2C,0x1D + ACK
2.608060000000000,I2C,0x78 + ACK
2.608180000000000,I2C,0x66 + NAK
2.608400000000000,I2C,Setup Write to [0x74] + ACK
2.608510000000000,I2C,0x40 + ACK
2.608635000000000,I2C,Setup Read to [0x75] + ACK
2.608750000000000,I2C,0x80 + NAK
2.616180000000000,I2C,Setup Write to [0x74] + ACK
2.616290000000000,I2C,0x00 + ACK
2.616425000000000,I2C,Setup Read to [0x75] + ACK
2.616535000000000,I2C,0xAC + ACK
2.616655000000000,I2C,0xB8 + ACK
2.616775000000000,I2C,0x1D + ACK
2.616895000000000,I2C,0x78 + ACK
2.617015000000000,I2C,0x66 + NAK
2.617235000000000,I2C,Setup Write to [0x74] + ACK
2.617345000000000,I2C,0x40 + ACK
2.617475000000000,I2C,Setup Read to [0x75] + ACK
2.617585000000000,I2C,0x80 + NAK
2.844050000000000,I2C,Setup Write to [0x74] + ACK
2.844155000000000,I2C,0x00 + ACK
2.844290000000000,I2C,Setup Read to [0x75] + ACK
2.844400000000000,I2C,0xAC + ACK
2.844520000000000,I2C,0xB8 + ACK
2.844640000000000,I2C,0x1D + ACK
2.844760000000000,I2C,0x78 + ACK
2.844880000000000,I2C,0x66 + NAK
2.845110000000000,I2C,Setup Write to [0x74] + ACK
2.845220000000000,I2C,0x40 + ACK
2.845350000000000,I2C,Setup Read to [0x75] + ACK
2.845460000000000,I2C,0x80 + NAK
2.910770000000000,I2C,Setup Write to [0x74] + ACK
2.910880000000000,I2C,0x00 + ACK
2.911010000000000,I2C,Setup Read to [0x75] + ACK
2.911120000000000,I2C,0xAC + ACK
2.911240000000000,I2C,0xB8 + ACK
2.911360000000000,I2C,0x1D + ACK
2.911480000000000,I2C,0x78 + ACK
2.911600000000000,I2C,0x66 + NAK
2.911820000000000,I2C,Setup Write to [0x74] + ACK
2.911930000000000,I2C,0x40 + ACK
2.912060000000000,I2C,Setup Read to [0x75] + ACK
2.912170000000000,I2C,0x80 + NAK
2.912715000000000,I2C,Setup Write to [0x74] + ACK
2.912825000000000,I2C,0x00 + ACK
